Date,Open,High,Low,Close,Volume,Adj Close
2007-08-22,114.48,115.54,114.46,115.38,186900,35.60
2007-08-21,114.09,114.89,112.89,113.50,103500,35.02
2007-08-20,114.10,115.00,112.43,114.50,173700,35.33
2007-08-17,115.20,115.20,112.12,114.01,225000,35.18
2007-08-16,110.29,112.06,106.54,111.30,898500,34.34
2007-08-15,115.01,116.17,112.06,112.21,160500,34.62
2007-08-14,118.00,118.00,115.30,115.46,142800,35.62
2007-08-13,119.00,119.23,117.05,117.05,289800,36.11
2007-08-10,113.30,117.87,113.00,117.33,283800,36.20
2007-08-09,117.28,119.32,115.99,116.33,1296000,35.89
2007-08-08,118.25,120.98,117.97,119.97,1195500,37.01
2007-08-07,114.25,117.93,114.10,117.19,277500,36.16
2007-08-06,114.80,115.24,111.87,115.09,971100,35.51
2007-08-03,118.80,119.70,114.71,114.71,339900,35.39
2007-08-02,119.80,120.37,117.38,119.08,258600,36.74
2007-08-01,120.50,121.16,116.65,119.37,313500,36.83
2007-07-31,122.14,123.09,120.10,120.30,506100,37.12
2007-07-30,120.35,121.25,118.37,120.78,182700,37.26
2007-07-27,121.20,122.31,118.39,119.48,247500,36.86
2007-07-26,123.70,124.13,119.17,121.61,550500,37.52
2007-07-25,124.95,125.88,122.29,125.64,346800,38.76
2007-07-24,126.53,126.75,123.86,124.68,200100,38.47
2007-07-23,129.00,129.00,127.35,127.88,149400,39.45
2007-07-20,129.39,129.39,127.36,128.30,138900,39.58
2007-07-19,128.78,129.15,128.44,129.08,160500,39.83
2007-07-18,125.58,127.93,125.33,127.87,187200,39.45
2007-07-17,127.02,127.82,125.29,125.50,208500,38.72
2007-07-16,128.34,128.34,125.44,126.44,245100,39.01
2007-07-13,127.51,128.85,127.40,128.46,213600,39.63
2007-07-12,125.95,127.23,125.95,127.22,296400,39.25
2007-07-11,123.90,124.79,123.50,124.69,253200,38.47
2007-07-10,124.36,125.72,123.76,124.47,134400,38.40
2007-07-09,124.38,125.52,124.18,125.13,176400,38.61
2007-07-06,123.05,124.18,123.05,123.80,147300,38.20
2007-07-05,122.30,123.22,121.43,122.69,297000,37.85
2007-07-03,122.05,122.64,121.95,122.50,119400,37.80
2007-07-02,120.80,121.95,120.23,121.95,170400,37.63
2007-06-29,120.42,120.96,119.18,119.84,304200,36.97
2007-06-28,120.85,120.95,119.12,119.44,266700,36.76
2007-06-27,117.15,119.81,116.29,119.80,297300,36.87
2007-06-26,121.10,121.10,117.83,118.62,405900,36.51
2007-06-25,121.50,122.16,119.75,120.50,529500,37.08
2007-06-22,123.25,124.49,121.01,122.19,423600,37.60
2007-06-21,121.52,123.26,121.14,123.26,668700,37.93
2007-06-20,124.13,124.44,120.73,120.95,352800,37.22
2007-06-19,124.20,124.62,123.13,124.13,253800,38.20
2007-06-18,124.15,124.51,123.67,124.17,150900,38.21
2007-06-15,123.15,123.97,123.15,123.90,148500,38.13
2007-06-14,120.89,122.40,120.84,122.37,201000,37.66
2007-06-13,118.19,120.32,118.19,120.32,96600,37.03
2007-06-12,118.98,119.39,117.76,117.95,413700,36.30
2007-06-11,118.10,119.81,118.10,119.28,272700,36.71
2007-06-08,117.35,118.60,115.83,118.60,185100,36.50
2007-06-07,119.98,120.66,117.46,117.55,275700,36.18
2007-06-06,121.00,121.17,119.63,119.99,276900,36.93
2007-06-05,121.85,122.10,121.02,121.80,489600,37.48
2007-06-04,120.66,122.39,120.56,122.33,149400,37.65
2007-06-01,120.00,121.00,120.00,120.75,237300,37.16
2007-05-31,119.96,120.38,119.00,119.41,315300,36.75
2007-05-30,116.87,119.56,116.83,119.52,125700,36.78
2007-05-29,118.15,118.26,116.87,117.49,72300,36.16
2007-05-25,117.87,118.15,117.25,118.14,93600,36.36
2007-05-24,118.98,119.48,116.26,116.52,210900,35.86
2007-05-23,119.06,119.88,118.64,118.80,197700,36.56
2007-05-22,119.38,119.64,118.08,118.25,80400,36.39
2007-05-21,119.06,120.11,118.59,119.32,236400,36.72
2007-05-18,117.12,118.20,117.00,118.10,115200,36.35
2007-05-17,114.92,117.00,114.30,116.57,247800,35.88
2007-05-16,114.50,114.98,113.26,114.98,75900,35.39
2007-05-15,114.41,115.63,114.18,114.65,421800,35.28
2007-05-14,114.58,115.00,114.00,114.58,83100,35.26
2007-05-11,112.69,114.46,112.69,114.46,238800,35.23
2007-05-10,114.04,114.04,111.87,112.20,292800,34.53
2007-05-09,113.67,114.17,112.96,114.05,149700,35.10
2007-05-08,113.57,114.14,112.62,114.14,96300,35.13
2007-05-07,113.57,114.21,113.51,114.16,120600,35.13
2007-05-04,113.70,114.50,112.95,113.38,150300,34.89
2007-05-03,112.00,113.26,111.78,113.00,125700,34.78
2007-05-02,110.97,112.13,110.83,111.80,116100,34.41
2007-05-01,110.50,110.76,109.57,110.68,192900,34.06
2007-04-30,111.88,112.36,110.43,110.51,83100,34.01
2007-04-27,111.45,112.25,111.03,111.93,63900,34.45
2007-04-26,111.73,112.03,110.92,111.80,92400,34.41
2007-04-25,110.68,112.45,110.55,112.07,150300,34.49
2007-04-24,110.13,110.64,109.59,110.00,165000,33.85
2007-04-23,109.94,111.10,109.94,110.43,138600,33.99
2007-04-20,109.75,110.24,109.34,110.24,108900,33.93
2007-04-19,108.70,109.02,108.45,108.86,125100,33.50
2007-04-18,110.25,110.25,109.53,110.17,206700,33.91
2007-04-17,111.55,111.65,110.25,110.62,180000,34.04
2007-04-16,110.95,111.30,110.00,111.30,363300,34.25
2007-04-13,110.23,110.70,109.73,110.70,145800,34.07
2007-04-12,109.00,110.04,108.45,110.00,84000,33.85
2007-04-11,108.90,109.50,108.06,108.70,1219800,33.45
2007-04-10,108.01,108.89,108.01,108.89,107700,33.51
2007-04-09,107.29,108.49,107.24,107.40,88500,33.05
2007-04-05,106.95,107.73,106.95,107.55,312900,33.10
2007-04-04,106.00,107.18,105.83,107.18,153900,32.99
2007-04-03,106.00,106.67,105.45,106.62,293700,32.81
2007-04-02,105.48,106.19,105.07,106.09,471600,32.65
2007-03-30,106.14,106.14,104.74,105.01,87900,32.32
2007-03-29,106.11,106.20,105.32,106.20,238200,32.68
